Empresa,Receita Anual,Dívida Total,Prazo de Pagamento (dias),Setor,Rating,Notícias Recentes
Empresa 2586,836764,608745,23,Comércio,C+,Mudanças na legislação para o setor.
Empresa 2587,612304,180603,43,Transportes,B+,Aumento no custo das matérias-primas.
Empresa 2588,761033,593683,78,Agronegócio,C+,Oportunidades de parcerias surgindo.
Empresa 2589,967145,180497,43,Indústria,D,Insatisfação de clientes em redes sociais.
Empresa 2590,691629,292048,96,Indústria,C,Inconsistências financeiras apontadas em auditoria.
Empresa 2591,261371,546961,91,Saúde,B,Oportunidades de parcerias surgindo.
Empresa 2592,456588,244662,62,Tecnologia,C-,Mudanças na legislação para o setor.
Empresa 2593,681044,342315,98,Turismo,D,Mudanças na legislação para o setor.
Empresa 2594,708091,125225,29,Educação,A+,Aumento no custo das matérias-primas.
Empresa 2595,632410,366107,72,Tecnologia,A+,Setor afetado por mudanças climáticas.
Empresa 2596,196000,564404,81,Tecnologia,B+,Aumento no custo das matérias-primas.
Empresa 2597,140182,467198,79,Transportes,A,Concorrente lançou um novo produto.
Empresa 2598,490842,667108,15,Transportes,C+,Oportunidades de parcerias surgindo.
Empresa 2599,441772,619098,76,Turismo,A+,Setor afetado por mudanças climáticas.
Empresa 2600,467050,573664,47,Tecnologia,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 2601,429263,378904,111,Indústria,A-,Cuidado com flutuações nos preços!
Empresa 2602,823602,390693,85,Comércio,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2603,169859,608475,82,Transportes,B-,Mudanças na legislação para o setor.
Empresa 2604,421041,171729,36,Agronegócio,B,Inconsistências financeiras apontadas em auditoria.
Empresa 2605,640831,488637,38,Comércio,D,Concorrente lançou um novo produto.
Empresa 2606,819746,692933,13,Transportes,D,Setor afetado por mudanças climáticas.
Empresa 2607,829292,411396,79,Serviços,B-,Aumento no custo das matérias-primas.
Empresa 2608,587733,650800,28,Tecnologia,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 2609,145563,458468,94,Alimentação,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 2610,152816,385006,10,Saúde,B-,Setor afetado por mudanças climáticas.
Empresa 2611,225796,634340,18,Indústria,A,Expansão em novos mercados anunciada.
Empresa 2612,202304,270695,99,Agronegócio,C+,Setor afetado por mudanças climáticas.
Empresa 2613,235183,285170,65,Tecnologia,A,Expansão em novos mercados anunciada.
Empresa 2614,170741,320008,18,Tecnologia,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2615,990981,679655,24,Turismo,B-,Cuidado com flutuações nos preços!
Empresa 2616,293601,415237,91,Alimentação,B,Investimento em tecnologia de prevenção de fraudes.
Empresa 2617,742978,372289,38,Agronegócio,B+,Cuidado com flutuações nos preços!
Empresa 2618,465969,687061,10,Comércio,B-,Aumento no custo das matérias-primas.
Empresa 2619,967400,529862,112,Agronegócio,A,Insatisfação de clientes em redes sociais.
Empresa 2620,941378,459745,101,Transportes,C+,Cuidado com flutuações nos preços!
Empresa 2621,113032,610227,25,Agronegócio,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 2622,434519,361854,113,Tecnologia,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 2623,493497,539775,45,Indústria,C,Cuidado com flutuações nos preços!
Empresa 2624,978734,371191,54,Alimentação,B-,Cuidado com flutuações nos preços!
Empresa 2625,922385,434512,60,Alimentação,C-,Cuidado com flutuações nos preços!
Empresa 2626,256812,525265,22,Transportes,D,Cuidado com flutuações nos preços!
Empresa 2627,519759,548478,115,Turismo,D,Mudanças na legislação para o setor.
Empresa 2628,581115,539868,95,Turismo,C+,Oportunidades de parcerias surgindo.
Empresa 2629,180681,488840,113,Comércio,B+,Concorrente lançou um novo produto.
Empresa 2630,717477,339234,99,Educação,A,Insatisfação de clientes em redes sociais.
Empresa 2631,587789,564456,118,Comércio,A+,Insatisfação de clientes em redes sociais.
Empresa 2632,334175,555726,102,Indústria,D,Expansão em novos mercados anunciada.
Empresa 2633,749745,162146,25,Saúde,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 2634,380844,303789,80,Educação,D,Setor afetado por mudanças climáticas.
Empresa 2635,201874,697185,17,Alimentação,B-,Insatisfação de clientes em redes sociais.
Empresa 2636,280304,251071,97,Educação,C,Expansão em novos mercados anunciada.
Empresa 2637,749809,192280,106,Turismo,C+,Setor afetado por mudanças climáticas.
Empresa 2638,553288,323164,41,Comércio,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2639,595107,359596,24,Agronegócio,A,Insatisfação de clientes em redes sociais.
Empresa 2640,219709,453789,56,Turismo,A+,Oportunidades de parcerias surgindo.
Empresa 2641,930811,319237,14,Alimentação,B+,Mudanças na legislação para o setor.
Empresa 2642,638941,520337,49,Transportes,C-,Expansão em novos mercados anunciada.
Empresa 2643,948251,251406,45,Agronegócio,B+,Expansão em novos mercados anunciada.
Empresa 2644,563654,119438,27,Educação,A,Expansão em novos mercados anunciada.
Empresa 2645,124110,598470,57,Agronegócio,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 2646,224734,235778,50,Alimentação,B+,Mudanças na legislação para o setor.
Empresa 2647,814897,543608,34,Alimentação,A,Aumento no custo das matérias-primas.
Empresa 2648,177521,603990,99,Indústria,A-,Concorrente lançou um novo produto.
Empresa 2649,312133,645341,87,Tecnologia,C+,Setor afetado por mudanças climáticas.
Empresa 2650,653924,256621,43,Turismo,D,Concorrente lançou um novo produto.
Empresa 2651,152677,295549,40,Comércio,A,Oportunidades de parcerias surgindo.
Empresa 2652,907464,214549,70,Tecnologia,C-,Insatisfação de clientes em redes sociais.
Empresa 2653,158400,214750,70,Serviços,C-,Oportunidades de parcerias surgindo.
Empresa 2654,184510,657337,96,Tecnologia,B+,Expansão em novos mercados anunciada.
Empresa 2655,407375,589681,71,Tecnologia,A,Mudanças na legislação para o setor.
Empresa 2656,715085,559942,90,Transportes,B,Setor afetado por mudanças climáticas.
Empresa 2657,247327,188561,36,Agronegócio,B-,Cuidado com flutuações nos preços!
Empresa 2658,934723,694298,100,Agronegócio,C,Insatisfação de clientes em redes sociais.
Empresa 2659,645981,520498,95,Alimentação,A+,Oportunidades de parcerias surgindo.
Empresa 2660,395151,487460,97,Indústria,C,Inconsistências financeiras apontadas em auditoria.
Empresa 2661,140675,399636,52,Educação,B+,Setor afetado por mudanças climáticas.
Empresa 2662,117952,166285,80,Agronegócio,C,Concorrente lançou um novo produto.
Empresa 2663,899495,180080,86,Saúde,A+,Insatisfação de clientes em redes sociais.
Empresa 2664,974596,367056,17,Comércio,B+,Cuidado com flutuações nos preços!
Empresa 2665,475185,471383,34,Turismo,A,Oportunidades de parcerias surgindo.
Empresa 2666,173724,419636,39,Indústria,A-,Setor afetado por mudanças climáticas.
Empresa 2667,897783,698684,47,Indústria,B+,Aumento no custo das matérias-primas.
Empresa 2668,679157,542779,115,Tecnologia,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 2669,762789,153387,68,Agronegócio,A,Oportunidades de parcerias surgindo.
Empresa 2670,550361,683835,95,Indústria,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2671,547699,537391,22,Indústria,A,Inconsistências financeiras apontadas em auditoria.
Empresa 2672,900271,426396,73,Educação,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2673,263615,538379,38,Indústria,B,Aumento no custo das matérias-primas.
Empresa 2674,521834,364996,20,Alimentação,A-,Setor afetado por mudanças climáticas.
Empresa 2675,241652,491476,98,Serviços,B,Concorrente lançou um novo produto.
Empresa 2676,945521,658882,119,Educação,B-,Insatisfação de clientes em redes sociais.
Empresa 2677,285362,363646,60,Tecnologia,B-,Mudanças na legislação para o setor.
Empresa 2678,246140,306741,94,Tecnologia,C,Inconsistências financeiras apontadas em auditoria.
Empresa 2679,194626,202122,17,Transportes,C+,Oportunidades de parcerias surgindo.
Empresa 2680,808173,494316,75,Saúde,D,Oportunidades de parcerias surgindo.
Empresa 2681,405285,371877,109,Transportes,D,Inconsistências financeiras apontadas em auditoria.
Empresa 2682,391285,187521,21,Saúde,D,Expansão em novos mercados anunciada.
Empresa 2683,923090,470118,86,Educação,A-,Aumento no custo das matérias-primas.
Empresa 2684,527626,506655,13,Agronegócio,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2685,937332,284081,79,Agronegócio,C-,Cuidado com flutuações nos preços!
Empresa 2686,864740,136602,89,Serviços,C-,Concorrente lançou um novo produto.
Empresa 2687,552596,244854,100,Turismo,B+,Oportunidades de parcerias surgindo.
Empresa 2688,966384,260755,35,Tecnologia,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 2689,188077,576495,67,Agronegócio,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 2690,766663,345124,55,Alimentação,A+,Aumento no custo das matérias-primas.
Empresa 2691,234340,669536,51,Tecnologia,B+,Aumento no custo das matérias-primas.
Empresa 2692,593703,102577,12,Saúde,A+,Insatisfação de clientes em redes sociais.
Empresa 2693,827748,148440,114,Comércio,B+,Oportunidades de parcerias surgindo.
Empresa 2694,257423,149731,91,Transportes,B+,Mudanças na legislação para o setor.
Empresa 2695,536047,240420,86,Tecnologia,C,Setor afetado por mudanças climáticas.
Empresa 2696,584800,332594,80,Alimentação,C-,Oportunidades de parcerias surgindo.
Empresa 2697,793287,169487,95,Serviços,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2698,550805,374899,63,Agronegócio,C+,Insatisfação de clientes em redes sociais.
Empresa 2699,187020,118921,10,Serviços,C,Aumento no custo das matérias-primas.
Empresa 2700,256517,193633,25,Saúde,A,Expansão em novos mercados anunciada.
Empresa 2701,753689,340845,37,Transportes,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2702,968053,334485,117,Educação,B-,Aumento no custo das matérias-primas.
Empresa 2703,245715,695913,38,Agronegócio,B,Cuidado com flutuações nos preços!
Empresa 2704,475568,381254,74,Agronegócio,D,Concorrente lançou um novo produto.
Empresa 2705,118914,429846,64,Turismo,C,Cuidado com flutuações nos preços!
Empresa 2706,799818,415781,87,Turismo,A,Mudanças na legislação para o setor.
Empresa 2707,348471,606411,72,Tecnologia,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2708,411219,109195,83,Tecnologia,B,Oportunidades de parcerias surgindo.
Empresa 2709,949211,163096,26,Serviços,C-,Aumento no custo das matérias-primas.
Empresa 2710,615303,214971,44,Turismo,A+,Mudanças na legislação para o setor.
Empresa 2711,993225,120942,59,Saúde,A-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2712,441754,118885,105,Turismo,B+,Insatisfação de clientes em redes sociais.
Empresa 2713,168919,400335,16,Educação,D,Mudanças na legislação para o setor.
Empresa 2714,964454,163331,96,Comércio,B,Investimento em tecnologia de prevenção de fraudes.
Empresa 2715,413236,442575,85,Alimentação,A+,Oportunidades de parcerias surgindo.
Empresa 2716,571795,570865,94,Serviços,B,Investimento em tecnologia de prevenção de fraudes.
Empresa 2717,186042,393708,86,Indústria,A,Oportunidades de parcerias surgindo.
Empresa 2718,697314,677526,20,Indústria,D,Mudanças na legislação para o setor.
Empresa 2719,216369,572986,30,Agronegócio,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2720,572931,254416,14,Agronegócio,A+,Aumento no custo das matérias-primas.
Empresa 2721,618745,131029,28,Comércio,C-,Aumento no custo das matérias-primas.
Empresa 2722,955044,501609,111,Transportes,D,Insatisfação de clientes em redes sociais.
Empresa 2723,838363,673009,70,Educação,A,Mudanças na legislação para o setor.
Empresa 2724,931760,391525,66,Indústria,D,Concorrente lançou um novo produto.
Empresa 2725,733325,310570,117,Transportes,A+,Insatisfação de clientes em redes sociais.
Empresa 2726,727830,441910,36,Saúde,B-,Expansão em novos mercados anunciada.
Empresa 2727,900409,638311,66,Tecnologia,B+,Insatisfação de clientes em redes sociais.
Empresa 2728,152504,258693,93,Turismo,B,Expansão em novos mercados anunciada.
Empresa 2729,190141,335808,97,Serviços,C-,Setor afetado por mudanças climáticas.
Empresa 2730,213229,406921,40,Serviços,A+,Cuidado com flutuações nos preços!
Empresa 2731,929806,362127,88,Indústria,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2732,140594,574136,40,Transportes,C,Cuidado com flutuações nos preços!
Empresa 2733,452855,237063,41,Alimentação,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2734,754468,545072,38,Serviços,D,Setor afetado por mudanças climáticas.
Empresa 2735,759910,582796,113,Alimentação,B+,Mudanças na legislação para o setor.
Empresa 2736,623298,485922,38,Indústria,A,Insatisfação de clientes em redes sociais.
Empresa 2737,125070,319467,38,Tecnologia,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2738,690612,393765,62,Tecnologia,C-,Concorrente lançou um novo produto.
Empresa 2739,983210,558266,88,Transportes,B,Expansão em novos mercados anunciada.
Empresa 2740,719026,424500,71,Indústria,A,Setor afetado por mudanças climáticas.
Empresa 2741,861773,224759,36,Saúde,A,Cuidado com flutuações nos preços!
Empresa 2742,661553,121877,59,Serviços,A,Setor afetado por mudanças climáticas.
Empresa 2743,161700,649932,11,Comércio,A,Concorrente lançou um novo produto.
Empresa 2744,765414,698041,110,Comércio,A-,Mudanças na legislação para o setor.
Empresa 2745,763769,639706,44,Transportes,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2746,852771,447539,111,Alimentação,A,Insatisfação de clientes em redes sociais.
Empresa 2747,679703,156965,40,Saúde,C+,Concorrente lançou um novo produto.
Empresa 2748,464320,500789,50,Serviços,A-,Mudanças na legislação para o setor.
Empresa 2749,959919,527978,45,Agronegócio,D,Oportunidades de parcerias surgindo.
Empresa 2750,566796,610647,25,Agronegócio,C-,Expansão em novos mercados anunciada.
Empresa 2751,668043,130070,57,Tecnologia,A-,Oportunidades de parcerias surgindo.
Empresa 2752,578007,345535,32,Indústria,A+,Cuidado com flutuações nos preços!
Empresa 2753,644181,551827,98,Alimentação,A+,Cuidado com flutuações nos preços!
Empresa 2754,340104,503974,57,Serviços,C,Insatisfação de clientes em redes sociais.
Empresa 2755,219662,544961,102,Saúde,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 2756,566464,553683,65,Turismo,B+,Insatisfação de clientes em redes sociais.
Empresa 2757,382338,240832,77,Agronegócio,A+,Mudanças na legislação para o setor.
Empresa 2758,580419,323222,103,Transportes,C-,Insatisfação de clientes em redes sociais.
Empresa 2759,785058,472018,110,Agronegócio,A-,Aumento no custo das matérias-primas.
Empresa 2760,836307,610292,38,Agronegócio,B+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2761,837171,452823,16,Alimentação,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2762,884614,217629,27,Agronegócio,C+,Setor afetado por mudanças climáticas.
Empresa 2763,969098,491219,31,Serviços,C,Oportunidades de parcerias surgindo.
Empresa 2764,756135,280939,91,Tecnologia,C,Aumento no custo das matérias-primas.
Empresa 2765,714855,388304,50,Indústria,B,Concorrente lançou um novo produto.
Empresa 2766,119750,467831,34,Indústria,C,Cuidado com flutuações nos preços!
Empresa 2767,576754,586569,101,Serviços,A,Oportunidades de parcerias surgindo.
Empresa 2768,219435,491852,84,Tecnologia,C-,Aumento no custo das matérias-primas.
Empresa 2769,892516,266788,34,Serviços,A+,Insatisfação de clientes em redes sociais.
Empresa 2770,595394,523179,62,Turismo,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 2771,697781,593736,14,Comércio,A+,Insatisfação de clientes em redes sociais.
Empresa 2772,323868,244040,30,Transportes,A-,Concorrente lançou um novo produto.
Empresa 2773,473506,394713,24,Saúde,B-,Oportunidades de parcerias surgindo.
Empresa 2774,317202,696579,106,Agronegócio,A+,Insatisfação de clientes em redes sociais.
Empresa 2775,245154,574583,80,Turismo,B,Cuidado com flutuações nos preços!
Empresa 2776,433712,579092,118,Alimentação,C-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2777,256997,447984,93,Transportes,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 2778,456744,399081,36,Tecnologia,A-,Oportunidades de parcerias surgindo.
Empresa 2779,261951,366887,61,Transportes,A-,Cuidado com flutuações nos preços!
Empresa 2780,528466,562469,69,Indústria,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2781,467338,356475,94,Turismo,B+,Concorrente lançou um novo produto.
Empresa 2782,370183,490378,38,Alimentação,C-,Concorrente lançou um novo produto.
Empresa 2783,403055,366461,109,Educação,C-,Insatisfação de clientes em redes sociais.
Empresa 2784,670818,285331,15,Saúde,A-,Mudanças na legislação para o setor.
Empresa 2785,397664,299303,113,Alimentação,C,Concorrente lançou um novo produto.
Empresa 2786,739529,277888,44,Saúde,A+,Cuidado com flutuações nos preços!
Empresa 2787,998078,504948,55,Comércio,B-,Insatisfação de clientes em redes sociais.
Empresa 2788,281088,345386,66,Indústria,C-,Aumento no custo das matérias-primas.
Empresa 2789,180933,364663,94,Turismo,C+,Mudanças na legislação para o setor.
Empresa 2790,101419,300599,46,Alimentação,B+,Concorrente lançou um novo produto.
Empresa 2791,446308,410697,48,Tecnologia,D,Setor afetado por mudanças climáticas.
Empresa 2792,240976,129099,86,Indústria,A,Oportunidades de parcerias surgindo.
Empresa 2793,812511,538683,97,Saúde,C-,Mudanças na legislação para o setor.
Empresa 2794,957725,563747,109,Indústria,C+,Insatisfação de clientes em redes sociais.
Empresa 2795,125718,502128,30,Alimentação,A+,Concorrente lançou um novo produto.
Empresa 2796,723318,273101,75,Comércio,B-,Concorrente lançou um novo produto.
Empresa 2797,161849,491609,107,Serviços,C,Cuidado com flutuações nos preços!
Empresa 2798,772751,557613,22,Saúde,C+,Setor afetado por mudanças climáticas.
Empresa 2799,478364,584769,60,Indústria,A,Oportunidades de parcerias surgindo.
Empresa 2800,871710,578626,91,Tecnologia,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 2801,634998,194150,82,Tecnologia,C,Insatisfação de clientes em redes sociais.
Empresa 2802,425366,481779,33,Comércio,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2803,428858,644982,59,Educação,C,Setor afetado por mudanças climáticas.
Empresa 2804,870389,612013,65,Educação,C+,Oportunidades de parcerias surgindo.
Empresa 2805,130870,387349,59,Agronegócio,C+,Insatisfação de clientes em redes sociais.
Empresa 2806,366130,274818,86,Tecnologia,C-,Setor afetado por mudanças climáticas.
Empresa 2807,482985,441220,33,Saúde,A,Investimento em tecnologia de prevenção de fraudes.
Empresa 2808,442408,139947,104,Indústria,C,Cuidado com flutuações nos preços!
Empresa 2809,569774,319821,59,Tecnologia,C+,Setor afetado por mudanças climáticas.
Empresa 2810,671265,365864,13,Educação,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2811,381386,405451,34,Comércio,C,Expansão em novos mercados anunciada.
Empresa 2812,811833,331158,29,Educação,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 2813,794279,480615,14,Turismo,A,Mudanças na legislação para o setor.
Empresa 2814,856386,174937,43,Transportes,A+,Concorrente lançou um novo produto.
Empresa 2815,748988,178190,57,Saúde,A,Mudanças na legislação para o setor.
Empresa 2816,209655,339313,40,Agronegócio,B-,Expansão em novos mercados anunciada.
Empresa 2817,906186,329052,119,Agronegócio,A+,Oportunidades de parcerias surgindo.
Empresa 2818,845840,231322,26,Educação,A-,Insatisfação de clientes em redes sociais.
Empresa 2819,862792,323041,69,Indústria,B+,Aumento no custo das matérias-primas.
Empresa 2820,293918,221091,74,Indústria,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2821,667006,135591,81,Tecnologia,B,Oportunidades de parcerias surgindo.
Empresa 2822,920481,670742,81,Educação,B,Concorrente lançou um novo produto.
Empresa 2823,983218,289260,48,Tecnologia,A+,Expansão em novos mercados anunciada.
Empresa 2824,894085,142895,47,Alimentação,A+,Cuidado com flutuações nos preços!
Empresa 2825,146929,406314,50,Transportes,B+,Expansão em novos mercados anunciada.
Empresa 2826,583999,301941,75,Transportes,A-,Insatisfação de clientes em redes sociais.
Empresa 2827,403261,628871,105,Tecnologia,D,Expansão em novos mercados anunciada.
Empresa 2828,594318,616032,101,Transportes,C-,Insatisfação de clientes em redes sociais.
Empresa 2829,187905,523202,96,Turismo,D,Aumento no custo das matérias-primas.
Empresa 2830,563676,197143,72,Saúde,C+,Aumento no custo das matérias-primas.
Empresa 2831,253291,639044,64,Indústria,A-,Insatisfação de clientes em redes sociais.
Empresa 2832,601603,285231,104,Indústria,B-,Aumento no custo das matérias-primas.
Empresa 2833,643510,477433,71,Turismo,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 2834,457211,263381,111,Comércio,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2835,317499,663938,51,Agronegócio,B,Expansão em novos mercados anunciada.
Empresa 2836,135917,586327,76,Educação,A,Inconsistências financeiras apontadas em auditoria.
Empresa 2837,242694,382720,38,Tecnologia,C+,Insatisfação de clientes em redes sociais.
Empresa 2838,734437,158404,87,Educação,A,Cuidado com flutuações nos preços!
Empresa 2839,152290,531165,52,Saúde,A+,Concorrente lançou um novo produto.
Empresa 2840,351498,550377,25,Alimentação,B-,Oportunidades de parcerias surgindo.
Empresa 2841,412322,181295,53,Turismo,B,Cuidado com flutuações nos preços!
Empresa 2842,572452,181507,91,Tecnologia,D,Expansão em novos mercados anunciada.
Empresa 2843,730741,107255,81,Transportes,A,Insatisfação de clientes em redes sociais.
Empresa 2844,863111,283526,106,Saúde,D,Mudanças na legislação para o setor.
Empresa 2845,290222,644971,107,Indústria,B-,Mudanças na legislação para o setor.
Empresa 2846,233362,602027,118,Alimentação,B,Setor afetado por mudanças climáticas.
Empresa 2847,659738,637133,113,Serviços,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 2848,345433,461833,50,Tecnologia,C,Concorrente lançou um novo produto.
Empresa 2849,666320,411179,43,Alimentação,B-,Cuidado com flutuações nos preços!
Empresa 2850,592141,542497,15,Serviços,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 2851,808086,545119,85,Comércio,D,Cuidado com flutuações nos preços!
Empresa 2852,359576,345071,45,Tecnologia,B-,Setor afetado por mudanças climáticas.
Empresa 2853,796481,630659,100,Serviços,A,Setor afetado por mudanças climáticas.
Empresa 2854,244008,158960,82,Comércio,B+,Mudanças na legislação para o setor.
Empresa 2855,983633,458730,48,Turismo,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2856,651579,306656,87,Educação,C,Aumento no custo das matérias-primas.
Empresa 2857,201604,553774,100,Turismo,D,Expansão em novos mercados anunciada.
Empresa 2858,716638,317778,86,Transportes,D,Concorrente lançou um novo produto.
Empresa 2859,899867,102475,94,Agronegócio,B,Oportunidades de parcerias surgindo.
Empresa 2860,426568,211724,82,Turismo,A,Oportunidades de parcerias surgindo.
Empresa 2861,516405,327626,95,Tecnologia,B-,Setor afetado por mudanças climáticas.
Empresa 2862,710793,572852,77,Indústria,C-,Concorrente lançou um novo produto.
Empresa 2863,963372,395250,17,Educação,A,Setor afetado por mudanças climáticas.
Empresa 2864,721386,370811,111,Tecnologia,A+,Setor afetado por mudanças climáticas.
Empresa 2865,525768,488131,117,Turismo,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2866,559024,449768,93,Indústria,D,Concorrente lançou um novo produto.
Empresa 2867,625865,514118,14,Tecnologia,D,Insatisfação de clientes em redes sociais.
Empresa 2868,667600,470478,89,Agronegócio,C+,Insatisfação de clientes em redes sociais.
Empresa 2869,967720,659062,76,Tecnologia,D,Setor afetado por mudanças climáticas.
Empresa 2870,363823,606555,92,Alimentação,C-,Oportunidades de parcerias surgindo.
Empresa 2871,834249,191227,54,Turismo,D,Setor afetado por mudanças climáticas.
Empresa 2872,341310,518556,108,Serviços,A,Aumento no custo das matérias-primas.
Empresa 2873,901016,613192,62,Saúde,D,Mudanças na legislação para o setor.
Empresa 2874,249972,604588,109,Alimentação,B+,Inconsistências financeiras apontadas em auditoria.
Empresa 2875,614758,602394,114,Educação,B-,Mudanças na legislação para o setor.
Empresa 2876,978807,532992,28,Turismo,C,Inconsistências financeiras apontadas em auditoria.
Empresa 2877,465816,569334,25,Educação,B,Mudanças na legislação para o setor.
Empresa 2878,695872,355660,76,Comércio,C,Expansão em novos mercados anunciada.
Empresa 2879,943738,609790,75,Tecnologia,C-,Mudanças na legislação para o setor.
Empresa 2880,388087,156887,56,Transportes,A+,Cuidado com flutuações nos preços!
Empresa 2881,594653,109861,70,Comércio,D,Inconsistências financeiras apontadas em auditoria.
Empresa 2882,556542,117344,69,Educação,B,Cuidado com flutuações nos preços!
Empresa 2883,838079,653206,74,Comércio,A+,Insatisfação de clientes em redes sociais.
Empresa 2884,244244,461725,10,Serviços,C-,Concorrente lançou um novo produto.
Empresa 2885,101125,514365,67,Alimentação,B-,Inconsistências financeiras apontadas em auditoria.
Empresa 2886,915588,673004,54,Transportes,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 2887,786639,525671,37,Tecnologia,B,Inconsistências financeiras apontadas em auditoria.
Empresa 2888,556609,357470,42,Turismo,A+,Inconsistências financeiras apontadas em auditoria.
Empresa 2889,416795,202353,18,Serviços,B-,Oportunidades de parcerias surgindo.
Empresa 2890,719434,371484,25,Educação,B+,Oportunidades de parcerias surgindo.
Empresa 2891,789112,300602,38,Transportes,C,Investimento em tecnologia de prevenção de fraudes.
Empresa 2892,628135,462545,33,Turismo,C+,Setor afetado por mudanças climáticas.
Empresa 2893,700857,378333,44,Transportes,A+,Oportunidades de parcerias surgindo.
Empresa 2894,797753,595681,71,Comércio,C,Setor afetado por mudanças climáticas.
Empresa 2895,207968,516985,72,Comércio,C,Inconsistências financeiras apontadas em auditoria.
Empresa 2896,604644,609413,14,Educação,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2897,922384,384356,19,Serviços,A,Inconsistências financeiras apontadas em auditoria.
Empresa 2898,845742,469542,92,Agronegócio,C+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2899,241097,638638,69,Turismo,C-,Cuidado com flutuações nos preços!
Empresa 2900,175955,520333,116,Educação,C-,Inconsistências financeiras apontadas em auditoria.
Empresa 2901,839336,235604,35,Serviços,C,Inconsistências financeiras apontadas em auditoria.
Empresa 2902,221760,246730,108,Comércio,A+,Concorrente lançou um novo produto.
Empresa 2903,823407,561176,94,Agronegócio,B+,Setor afetado por mudanças climáticas.
Empresa 2904,206808,108620,109,Agronegócio,A-,Inconsistências financeiras apontadas em auditoria.
Empresa 2905,247535,207518,109,Transportes,A+,Aumento no custo das matérias-primas.
Empresa 2906,297145,182087,88,Educação,A-,Mudanças na legislação para o setor.
Empresa 2907,978180,388608,28,Saúde,A-,Concorrente lançou um novo produto.
Empresa 2908,657233,227810,107,Agronegócio,C,Expansão em novos mercados anunciada.
Empresa 2909,995717,427996,64,Alimentação,C+,Setor afetado por mudanças climáticas.
Empresa 2910,731662,550191,75,Indústria,D,Investimento em tecnologia de prevenção de fraudes.
Empresa 2911,646632,275297,20,Alimentação,B-,Oportunidades de parcerias surgindo.
Empresa 2912,907360,343917,49,Indústria,A+,Investimento em tecnologia de prevenção de fraudes.
Empresa 2913,885270,124440,81,Turismo,B-,Concorrente lançou um novo produto.
Empresa 2914,363225,380865,92,Educação,B-,Investimento em tecnologia de prevenção de fraudes.
Empresa 2915,724186,296131,33,Agronegócio,A,Insatisfação de clientes em redes sociais.
Empresa 2916,149475,620162,55,Transportes,D,Inconsistências financeiras apontadas em auditoria.
Empresa 2917,611388,691436,64,Educação,B-,Setor afetado por mudanças climáticas.
Empresa 2918,424006,178944,103,Saúde,C+,Inconsistências financeiras apontadas em auditoria.
Empresa 2919,946369,188243,64,Tecnologia,A,Oportunidades de parcerias surgindo.
Empresa 2920,635768,652043,90,Alimentação,D,Expansão em novos mercados anunciada.
